web-scraper-order,web-scraper-start-url,name,price,price2
"1634783043-88","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Keegan Navy Linen Tufted Winged Full Headboard","$459.00","null"
"1634783043-423","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","2611Q Satin Black Queen / Full Size Metal Headboard / Footboard","$335.00","null"
"1634783043-406","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Pearson Aged Oak Queen Upholstered Headboard","$715.00","null"
"1634783043-385","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Paloma Antique Bronze Full Metal Headboard","$325.00","null"
"1634783043-314","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D499-230 Beige Cambelback Button Tufted Twin Headboard","$129.00","On Sale$129.00"
"1634783043-437","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Hudson Gray Queen Headboard","$789.00","null"
"1634783043-61","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Nadine Brown Queen Winged Headboard","$699.00","null"
"1634783043-189","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Nadine Natural Winged King Headboard","$839.00","null"
"1634783043-257","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","450103T Dark Brown Twin Headboard","$195.00","null"
"1634783043-390","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Silva Gunmetal Full Metal Headboard","$625.00","null"
"1634783043-436","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Silva Gunmetal Metal King Headboard","$699.00","null"
"1634783043-179","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Skyler Gray King Headboard","$675.00","null"
"1634783043-342","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D365-230 Light Grey Twin Nail Trim Headboard","$179.00","On Sale$179.00"
"1634783043-317","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Cory Navy Twin Headboard","$305.00","null"
"1634783043-505","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Tatiana Warm Brown Queen/Full Headboard","$369.00","null"
"1634783043-477","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Hudson Beige Queen Headboard","$789.00","null"
"1634783043-233","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Sephina Antique Gray Rattan Full Size Headboard","$619.00","null"
"1634783043-411","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","300-2223-270 Cloud Grey Curved Upholstered King/Cal. King Headboard","$505.00","On Sale$505.00"
"1634783043-67","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Lucinda Antique Iron Queen Metal Headboard","$635.00","null"
"1634783043-513","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Lucinda Antique Gold Queen Metal Headboard","$635.00","null"
"1634783043-418","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Ash Full/Queen Nailhead Upholstered Headboard","$509.00","On Sale$509.00"
"1634783043-412","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D117-270-2A Storm Grey Shelter Style Upholstered Wingback King Headboard","$609.00","On Sale$609.00"
"1634783043-463","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Taryn Latte Pintuck Upholstered FullQueen Headboard","$289.00","On Sale$289.00"
"1634783043-301","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D502-270 Cream Nail Trim King Headboard","$239.00","On Sale$239.00"
"1634783043-338","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D365-270 Light Grey King  Cal. King Nail Trim Headboard","$555.00","On Sale$555.00"
"1634783043-47","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Lamar Antique Sage Tufted Queen Headboard","$635.00","null"
"1634783043-33","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6004Q Beige Queen Size Headboard","$225.00","null"
"1634783043-71","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Austin Taupe Winged Queen Headboard","$685.00","null"
"1634783043-66","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Andenne Black Queen/Full Headboard","$385.00","null"
"1634783043-13","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","London Pewter Tufted Winged Queen Headboard","$819.00","null"
"1634783043-339","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Ashford Dixon Savile Flax King Headboard","$849.00","null"
"1634783043-366","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Editor Distressed Sepia And Sienna King Panel Headboard","$805.00","null"
"1634783043-224","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Gabrielle White Washed Wicker Full Size Headboard","$609.00","null"
"1634783043-466","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D523-270-1 Brown Upholstered Wall Hanging Panel King Headboard","$239.00","On Sale$239.00"
"1634783043-169","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Catalyst Dark Gray And Black Wireless Upholstered Adjustable King Bed Base","$1187.00","null"
"1634783043-32","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Alexia White Queen Headboard","$405.00","null"
"1634783043-281","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Keegan Chocolate Velvet Full Headboard","$459.00","null"
"1634783043-16","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Baker Mahogany Cal King Headboard Only","$735.00","null"
"1634783043-512","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D117-250-1A Jasper Blue  Shelter Style Upholstered Wingback Queen Headboard","$309.00","On Sale$309.00"
"1634783043-147","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D366-250 Navy Full  Queen Welt Trim Headboard","$345.00","On Sale$345.00"
"1634783043-268","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D499-270 Beige Cambelback Button Tufted King Headboard","$245.00","On Sale$245.00"
"1634783043-187","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Lamar Slate Blue Tufted Twin Headboard","$319.00","null"
"1634783043-249","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Lucinda Gunmetal Full Headboard","$625.00","null"
"1634783043-343","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Malibu Zuma King Upholstered Platform Headboard By Barclay Butera","$1849.00","null"
