web-scraper-order,web-scraper-start-url,subcat,subcat-href,name
"1629116663-15515","https://www.ecstuning.com/shop-by-brand/","SLR (23)","https://www.ecstuning.com/b-slr-parts/","E36 Super Length Full Angle Drift Kit - Violet Purple Arms"
"1629118741-15988","https://www.ecstuning.com/shop-by-brand/","ProgRama (28)","https://www.ecstuning.com/b-programa-parts/","Instrument Cluster Printed Circuit Board - Programa"
"1629121621-17588","https://www.ecstuning.com/shop-by-brand/","Glassmaster Pro (1)","https://www.ecstuning.com/b-glassmaster-pro-parts/","Glass / Dash Cleaning Kit"
"1629116680-15533","https://www.ecstuning.com/shop-by-brand/","Siliconehoses.com (10)","https://www.ecstuning.com/b-siliconehoses.com-parts/","45 Degree Elbow 3/4"" Bore (19mm) Blue"
"1629115213-15259","https://www.ecstuning.com/shop-by-brand/","The Retrofit Source (3)","https://www.ecstuning.com/b-the-retrofit-source-parts/","MORIMOTO RETRORUBBER BUTYL GLUE"
"1629121439-17549","https://www.ecstuning.com/shop-by-brand/","Goodyear (12)","https://www.ecstuning.com/b-goodyear-parts/","Goodyear Eagle Sport All Season - 255/40/18"
"1629118263-15709","https://www.ecstuning.com/shop-by-brand/","RPM (12)","https://www.ecstuning.com/b-rpm-parts/","Fuel Injector Sleeve"
"1629116551-15457","https://www.ecstuning.com/shop-by-brand/","Spec Clutches (3557)","https://www.ecstuning.com/b-spec-clutches-parts/","Stage 3+ Clutch Kit"
"1629118692-15944","https://www.ecstuning.com/shop-by-brand/","Putco (15)","https://www.ecstuning.com/b-putco-parts/","Black Jack Flag Door Handle Covers"
"1629123071-17855","https://www.ecstuning.com/shop-by-brand/","Flosser (38)","https://www.ecstuning.com/b-flosser-parts/","H6W Halogen Bulb - Priced Each"
"1629122889-17784","https://www.ecstuning.com/shop-by-brand/","Fuel Injection Corp. (3)","https://www.ecstuning.com/b-fuel-injection-corp.-parts/","Mass Airflow Sensor"
"1629116537-15452","https://www.ecstuning.com/shop-by-brand/","Spectra Premium (25)","https://www.ecstuning.com/b-spectra-premium-parts/","Distributor"
"1629114464-14818","https://www.ecstuning.com/shop-by-brand/","Wilton (3)","https://www.ecstuning.com/b-wilton-parts/","Drill Press Vise Continuous Nut, 3"" Jaw Width 3-1/8"" Jaw Opening"
"1629119283-16479","https://www.ecstuning.com/shop-by-brand/","New South Performance (117)","https://www.ecstuning.com/b-new-south-performance-parts/","Boost Gauge & Pod Kit"
"1629123037-17828","https://www.ecstuning.com/shop-by-brand/","Forgeline (16)","https://www.ecstuning.com/b-forgeline-parts/","Forgeline - 19x10 ET25"
"1629119756-16905","https://www.ecstuning.com/shop-by-brand/","Lloyd Mats (77)","https://www.ecstuning.com/b-lloyd-mats-parts/","Cargo Well Cover - Black"
"1629125213-18955","https://www.ecstuning.com/shop-by-brand/","AutoBrahn (819)","https://www.ecstuning.com/b-autobrahn-parts/","OE Style Hood Bra - Diamond Black"
"1629127011-19251","https://www.ecstuning.com/shop-by-brand/","Aeroflow Dynamics (180)","https://www.ecstuning.com/b-aeroflow-dynamics-parts/","Aeroflow Dynamics V1 Canards - E90/92/93 M3"
"1629125404-19046","https://www.ecstuning.com/shop-by-brand/","Arospeed (16)","https://www.ecstuning.com/b-arospeed-parts/","Lug Nut Cap - Set Of 20 - Neo Chrome"
"1629124944-18746","https://www.ecstuning.com/shop-by-brand/","BorgWarner (83)","https://www.ecstuning.com/b-borgwarner-parts/","Borg Warner Airwerks Turbocharger SX K03 MINI Cooper S EP6 HP Upgrade K03-2074 - 41mm"
"1629124752-18580","https://www.ecstuning.com/shop-by-brand/","Cat Cams (48)","https://www.ecstuning.com/b-cat-cams-parts/","Sport Camshaft set 269/269 10.00mm"
"1629124422-18230","https://www.ecstuning.com/shop-by-brand/","Dragon Laminates  (106)","https://www.ecstuning.com/b-dragon-laminates--parts/","Dragon Laminates - NEO Yellow - 36"" x 48"""
"1629124855-18660","https://www.ecstuning.com/shop-by-brand/","Bryndana (21)","https://www.ecstuning.com/b-bryndana-parts/","Colorbond Interior Spray Paint - Gloss Clear"
"1629119826-16968","https://www.ecstuning.com/shop-by-brand/","Lang Racing (23)","https://www.ecstuning.com/b-lang-racing-parts/","Lang Racing Dry Sump Kit - BMW E46 M3 Z3M Z4M S54 Engine"
"1629114304-14705","https://www.ecstuning.com/shop-by-brand/","Zymol (11)","https://www.ecstuning.com/b-zymol-parts/","Zymol Smart Kit"
"1629119496-16681","https://www.ecstuning.com/shop-by-brand/","Mintex (84)","https://www.ecstuning.com/b-mintex-parts/","Front Brake Pad Set"
"1629117265-15651","https://www.ecstuning.com/shop-by-brand/","Santech (19)","https://www.ecstuning.com/b-santech-parts/","A/C O-Ring Kit"
"1629125145-18923","https://www.ecstuning.com/shop-by-brand/","AWE (36)","https://www.ecstuning.com/b-awe-parts/","AWE Performance Mid Pipe for BMW F3X 335i / 435i"
"1629123630-18079","https://www.ecstuning.com/shop-by-brand/","Empi (37)","https://www.ecstuning.com/b-empi-parts/","Axle Shaft Assembly"
"1629123112-17870","https://www.ecstuning.com/shop-by-brand/","Firepower (4)","https://www.ecstuning.com/b-firepower-parts/","3 In 1 Mig,Stick And Tig Welder"
"1629119354-16549","https://www.ecstuning.com/shop-by-brand/","MSD Performance (22)","https://www.ecstuning.com/b-msd-performance-parts/","MSD Blaster Series Black Ignition Coils - Set Of Four"
"1629122067-17637","https://www.ecstuning.com/shop-by-brand/","Genuine Porsche (420515)","https://www.ecstuning.com/b-genuine-porsche-parts/","LED HEADLIGHTS"
"1629124719-18540","https://www.ecstuning.com/shop-by-brand/","CG Precision (15)","https://www.ecstuning.com/b-cg-precision-parts/","VSC-1 Variable Sound Controller (Auto/Open)"
"1629119444-16641","https://www.ecstuning.com/shop-by-brand/","MOMO (78)","https://www.ecstuning.com/b-momo-parts/","MOMO Steering Wheel Hub Adapter"
"1629125268-18996","https://www.ecstuning.com/shop-by-brand/","Atlantic Automotive Engineering (44)","https://www.ecstuning.com/b-atlantic-automotive-engineering-parts/","Remanufactured Power Steering Pump (LF-30)"
"1629122997-17804","https://www.ecstuning.com/shop-by-brand/","FREMAX (17)","https://www.ecstuning.com/b-fremax-parts/","Rear Brake Rotors - Pair (356x22)"
"1629119951-17076","https://www.ecstuning.com/shop-by-brand/","Kimberly Clark (3)","https://www.ecstuning.com/b-kimberly-clark-parts/","10""x12"" Shop Towels - Box of 200"
"1629118873-16100","https://www.ecstuning.com/shop-by-brand/","Pirelli (3)","https://www.ecstuning.com/b-pirelli-parts/","Pirelli P-Zero Tire"
"1629119749-16893","https://www.ecstuning.com/shop-by-brand/","Loctite (23)","https://www.ecstuning.com/b-loctite-parts/","Loctite 271 - Thread Lock Compound - High Strength"
"1629123373-18007","https://www.ecstuning.com/shop-by-brand/","Evaero (7)","https://www.ecstuning.com/b-evaero-parts/","Evaero Full Carbon Fiber Aero Kit - F80 M3"
"1629123523-18047","https://www.ecstuning.com/shop-by-brand/","ESM Wheels (53)","https://www.ecstuning.com/b-esm-wheels-parts/","17"" Style 002R Wheels - Set Of Four"
"1629119882-17012","https://www.ecstuning.com/shop-by-brand/","Koyo Cooling (2)","https://www.ecstuning.com/b-koyo-cooling-parts/","Air Conditioning Condenser"
"1629125145-18925","https://www.ecstuning.com/shop-by-brand/","AWE (36)","https://www.ecstuning.com/b-awe-parts/","AWE S-FLO Carbon Intake for BMW 228i/320i/328i/428i"
