product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description,short-description 15
https://www.turnermotorsport.com/p-640067-supercharger-belts-6pk-65mm-or-60mm-harrop-kit/,Supercharger Belts 6pk 65mm Or 60mm Harrop Kit,640067,65-6PK1385,$42.00,https://www.turnermotorsport.com/c-777-bmw-superchargers#,,
https://www.turnermotorsport.com/p-340094-active-autowerke-supercharger-kit-e9x-m3-2008-2013/,Active Autowerke Supercharger Kit - E9X M3 2008-2013,340094,AASC-E9XM3,"$9,995.00",https://www.turnermotorsport.com/c-777-bmw-superchargers#,"The advanced design and sleek features of the Active Autowerke Supercharger System include a front mount air-to-air intercooler system with a separate oil cooler for the supercharger unit's independent oil system. The Active Autowerke Supercharger Plenum replaces the factory air box and is designed to have an OEM-type look with custom finishes available at the customer's request. The Active Autowerke Supercharger Plenum has been designed with eight high-flow velocity stacks, and large three-inch intercooler piping to supply cooled air.",
https://www.turnermotorsport.com/p-640066-6pk-sc-pulley-60mm/,6pk SC Pulley (60mm),640066,99-PLY13376,$100.00,https://www.turnermotorsport.com/c-777-bmw-superchargers#,,
https://www.turnermotorsport.com/p-340092-active-autowerke-supercharger-kit-rotrex-e36-m3/,Active Autowerke Supercharger Kit - (Rotrex) - E36 M3,340092,AARSC-E36M3,"$5,495.00",https://www.turnermotorsport.com/c-777-bmw-superchargers#,"No one buys an M3 because they like limits.   This carefully engineered kit matches the Rotrex C38 supercharger with the perfect hardware, software and tuning to take the factory 240 HP straight up to 360 HP (with the potential for even more power with additional upgrades).   Best of all, if your craving for more power is still insatiable, there is a higher upgrade Level 2 featuring more boost and a front mounted air to air intercooler. The Active Autowerke supercharger systrem is truly modular and fully upgradeable.   Running on 91-93 octane pump fuel with full emissions system intact, this system has stood the test of real world conditions and delivers thrill-worthy performance on demand while still retaining that BMW feel for a comfortable daily commute.",This item fits the following BMWs:
https://www.turnermotorsport.com/p-397298-e46-m3-gen-7-sc-manifold/,Active Autowerke Generation 7 Supercharger Intake Manifold - E46 M3 ...,397298,12-027,"$1,250.00",https://www.turnermotorsport.com/c-777-bmw-superchargers?No=50&Nrpp=50#,"Since getting their start in 1981, Active Autowerke has earned a well-respected reputation in the BMW community for engineering high-quality power sultions for popular BMW models. This Generation 7 intake manifold features a dual bypass valve and is engineered to support big power courtesy of a Rotrex supercharger. If you are building your own supercharger setup, this intake manifold is a great starting point.",
https://www.turnermotorsport.com/p-401508-active-autowerke-e46-m3-prima-plus-supercharger-with-600hp-upgrade-kit/,Active Autowerke E46 M3 Prima Plus + Supercharger With 600HP Upgrade...,401508,12-035,"$7,595.00",https://www.turnermotorsport.com/c-777-bmw-superchargers?No=50&Nrpp=50#,"As producer of one of the finest working supercharger systems for the BMW E46 M3, Active Autowerke is proud to introduce the PRIMA PLUS supercharger system capable of exceeding 500 WHP running on pump drawn 93 octane. The PRIMA PLUS is an upgrade kit to the existing PRIMA supercharger system designed to create MORE horsepower.",
https://www.turnermotorsport.com/p-212450-11288625983-genuine-bmw-part/,Genuine MINI Adjustment Pulley,212450,11288625983,$62.69,https://www.turnermotorsport.com/c-777-bmw-superchargers?No=50&Nrpp=50#,Genuine MINI Adjusting Pulley - 11288625983    W11,
https://www.turnermotorsport.com/p-20721-17511524439-genuine-bmw-part/,Genuine MINI Intake Duct For SuperCharger,20721,17511524439,$177.10,https://www.turnermotorsport.com/c-777-bmw-superchargers?No=50&Nrpp=50#,Genuine MINI INTAKE DUCT 17511524439    W11,
https://www.turnermotorsport.com/p-1501-belt-mini-cooper-s-supercharger-belt/,Belt - MINI Cooper S SuperCharger Belt,1501,25-060535,$30.95,https://www.turnermotorsport.com/c-777-bmw-superchargers?No=50&Nrpp=50#,"This belt drives the super charger on the MINI cooper S. We recommend checking your belts every 10,000 miles. If your belts have excessive cracks, dry rot, missing teeth and/or grooves, are causing noise, it's time for new ones. This belt fits MINI Cooper S.",
https://www.turnermotorsport.com/p-47154-17517541463-genuine-bmw-part/,Genuine MINI Hose For Intake Duct,47154,17517541463,$36.90,https://www.turnermotorsport.com/c-777-bmw-superchargers?No=50&Nrpp=50#,Genuine MINI HOSE    W11,
