web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,name
1632300617-10668,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Overload Protection				
																				
																			
																			 
																				
																					(223)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=865054/,"Fellowes® AutoMax 200M 200 Sheet Micro-Cut Shredder, 46562010.0 out of 5 stars."
1632301063-12290,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"19+ fpm				
																				
																			
																			 
																				
																					(75)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=879226/,"Ideal.™ 2503 10 Sheet Cross-Cut Shredder, IDEDSH0301H0.0 out of 5 stars."
1632301593-14378,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Ativa				
																				
																			
																			 
																				
																					(66)",https://www.officedepot.com/a/browse/ativa-shredders/N=5+509777&cbxRefine=301536/,Ativa V 32 Gallon Shred Cart0.0 out of 5 stars.
1632310504-19385,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projectors (201),https://www.officedepot.com/a/browse/projectors/N=5+1123281/,"1920 x 1080				
																				
																			
																			 
																				
																					(26)",https://www.officedepot.com/a/browse/projectors/N=5+1123281&cbxRefine=674370/,Viewsonic VS18294 LED Projector - 1920 x 1080 - Front - 1080p - 30000 Hour Norma...
1632300852-11492,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Paper Clips				
																				
																			
																			 
																				
																					(207)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869848/,Swingline® GBC® Jam Free 10 Sheet Cross-Cut Shredder EX10-063.0 out of 5 stars. 1 review
1632309544-19103,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projectors (201),https://www.officedepot.com/a/browse/projectors/N=5+1123281/,"$500 - $1000				
																				
																			
																			 
																				
																					(65)",https://www.officedepot.com/a/browse/projectors/N=5+1123281&cbxRefine=391804/,Viewsonic VS18294 LED Projector - 1920 x 1080 - Front - 1080p - 30000 Hour Norma...
1632302381-17500,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,,https://www.officedepot.com/a/browse/shredders/Ne=100&N=5+1205526&cbxRefine=1382827/,HSM Securio B35s 42 Sheet Strip-Cut Shredder
1632317282-23828,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Calculators (223),https://www.officedepot.com/a/browse/calculators/N=5+509745/,Calculator Supplies (28),https://www.officedepot.com/a/browse/calculator-supplies/N=5+509746/,"Guerrilla G3 Series Zipper Calculator Case, Black, G3-CALCCASEBLK0.0 out of 5 stars."
1632308764-18924,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projectors (201),https://www.officedepot.com/a/browse/projectors/N=5+1123281/,"$1000 - $10000				
																				
																			
																			 
																				
																					(88)",https://www.officedepot.com/a/browse/projectors/N=5+1123281&cbxRefine=391842/,"Acer H6810 DLP Projector - 16:9 - 3840 x 2160 - Front, Rear, Ceiling, Rear Ceili..."
1632300761-11116,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Paper Only				
																				
																			
																			 
																				
																					(85)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869850/,GBC ShredMaster SM15-08 Micro-Cut Shredder - Non-continuous Shredder - Micro Cut...
