web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632679580-10105,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet MFP M234sdw Wireless Monochrome (Black And White) Laser All-In-One P...3.1 out of 5 stars. 7 reviews
1632679542-10045,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M681z Color Laser All-In-One Printer
1632679580-10122,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP PageWide Pro 477dn Color All-In-One Printer4.4 out of 5 stars. 26 reviews
1632679542-10061,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M653dn Laser Printer - Color - Ethernet
1632679580-10098,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP ENVY 6455e Wireless Color All-in-One Printer With HP+ (223R1A)3.9 out of 5 stars. 162 reviews
1632679566-10077,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP OfficeJet Pro 8025e All-in-One Wireless Color Printer With HP+4.1 out of 5 stars. 775 reviews
1632679580-10137,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet MFP M234dw Wireless Monochrome (Black And White) Laser All-In-One Pr...3.1 out of 5 stars. 12 reviews
1632679542-10037,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro M203dw Wireless Monochrome (Black And White) Laser Printer
1632679542-10004,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro M404dw Wireless Monochrome (Black And White) Laser Printer4.7 out of 5 stars. 78 reviews
1632679566-10085,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP PageWide Pro 452dw Wireless Color Inkjet Printer3.9 out of 5 stars. 14 reviews
1632679580-10135,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Pro M283fdw Wireless Color Laser All-In-One Printer4.4 out of 5 stars. 354 reviews
1632679580-10129,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Enterprise MFP M528dn Monochrome (Black And White) Laser Printer4.8 out of 5 stars. 4 reviews
1632679580-10092,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP OfficeJet Pro 8035e All-in-One Wireless Color Printer (Oasis) With HP+4.1 out of 5 stars. 517 reviews
1632679566-10088,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP OfficeJet Pro 6230 Wireless Color Printer3.3 out of 5 stars. 124 reviews
1632679542-10062,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M554dn Color Laser Printer
1632679542-10038,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro M283fdw Wireless Color Laser All-In-One Printer
1632679542-10048,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M682z Laser Multifunction Printer - Color - For Plain Paper Print
1632679580-10147,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Enterprise MFP M776dn Color Laser All-In-One Printer1.0 out of 5 stars. 1 review
