url,product,category
https://www.academy.com/shop/pdp/columbia-sportswear-mens-university-of-texas-super-slack-tide-button-down-shirt-?sku=orange-dark-01-medium-texas-longhorns,Columbia Sportswear Men's University of Texas Super Slack Tide Button Down Shirt,apparels
https://www.academy.com/shop/pdp/we-are-texas-mens-university-of-texas-longhorn-state-t-shirt?sku=orange-small-texas-longhorns,We Are Texas Men's University of Texas Longhorn State T-shirt,apparels
https://www.academy.com/shop/pdp/team-golf-sock-head-covers-3-pack?sku=arkansas-razorbacks,Team Golf Sock Head Covers 3-Pack,apparels
https://www.academy.com/shop/pdp/47-mens-kansas-city-chiefs-premier-franklin-t-shirt?sku=red-large-kansas-city-chiefs,'47 Men's Kansas City Chiefs Premier Franklin T-shirt,apparels
https://www.academy.com/shop/pdp/mlb-boys-houston-astros-primary-logo-t-shirt-122874769?sku=orange-medium-houston-astros,MLB Boys' Houston Astros Primary Logo T-shirt,apparels
https://www.academy.com/shop/pdp/columbia-sportswear-mens-university-of-florida-terminal-tackle-shirt?sku=blue-medium-01-large-florida-gators,Columbia Sportswear Men's University of Florida Terminal Tackle Shirt,apparels
https://www.academy.com/shop/pdp/victory-tailgate-louisiana-state-university-bean-bag-toss-game?sku=lsu-tigers,Victory Tailgate Louisiana State University Bean Bag Toss Game,apparels
https://www.academy.com/shop/pdp/wincraft-dallas-cowboys-2-sided-garden-flag?sku=navy-dallas-cowboys,WinCraft Dallas Cowboys 2-Sided Garden Flag,apparels
https://www.academy.com/shop/pdp/antigua-mens-texas-state-university-legacy-pique-polo-shirt?sku=white-medium-texas-state-bobcats,Antigua Men's Texas State University Legacy Pique Polo Shirt,apparels
https://www.academy.com/shop/pdp/mitchell-ness-mens-austin-fc-343-tie-dye-t-shirt?sku=black-grey-large-austin-fc,Mitchell & Ness Men's Austin FC 343 Tie Dye T-shirt,apparels
https://www.academy.com/shop/pdp/columbia-sportswear-mens-university-of-oklahoma-terminal-tackle-shirt?sku=red-large-oklahoma-sooners,Columbia Sportswear Men's University of Oklahoma Terminal Tackle Shirt,apparels
https://www.academy.com/shop/pdp/%E2%80%9847-mens-houston-astros-super-rival-short-sleeve-t-shirt?sku=navy-large-houston-astros,‘47 Men's Houston Astros Super Rival Short Sleeve T-Shirt,apparels
https://www.academy.com/shop/pdp/for-bare-feet-george-tech-argyle-socks?sku=yellow-one-size-georgia-tech-yellow-jackets,For Bare Feet George Tech Argyle Socks,apparels
https://www.academy.com/shop/pdp/logo-texas-a-m-university-50-in-x-60-in-classic-fleece-blanket?sku=maroon-texas-a-m-aggies,Logo Texas A&M University 50 in x 60 in Classic Fleece Blanket,apparels
https://www.academy.com/shop/pdp/team-beans-auburn-university-clear-reusable-bag?sku=blue-orange-auburn-tigers,Team Beans Auburn University Clear Reusable Bag,apparels
https://www.academy.com/shop/pdp/storm-duds-mens-texas-a-m-university-lightweight-stadium-rain-poncho?sku=white-maroon-texas-a-m-aggies,Storm Duds Men's Texas A&M University Lightweight Stadium Rain Poncho,apparels
https://www.academy.com/shop/pdp/nike-mens-dallas-cowboys-prescott-game-jersey?sku=navy-xx-large-dallas-cowboys,Nike Men's Dallas Cowboys Prescott Game Jersey,apparels
https://www.academy.com/shop/pdp/three-square-womens-university-of-texas-kashmir-mineral-wash-graphic-t-shirt-?sku=black-small-texas-longhorns,Three Square Women's University of Texas Kashmir Mineral Wash Graphic T-shirt,apparels
https://www.academy.com/shop/pdp/new-era-womens-dallas-cowboys-lace-up-inset-jersey-t-shirt?sku=navy-gray-large-dallas-cowboys,New Era Women's Dallas Cowboys Lace Up Inset Jersey T-shirt,apparels
https://www.academy.com/shop/pdp/columbia-sportswear-mens-university-of-georgia-tamiami-shirt?sku=red-large-georgia-bulldogs,Columbia Sportswear Men's University of Georgia Tamiami Shirt,apparels
