Title,Title_URL
BCG Men's Sport Compression T-shirt                                                                                             ,https://www.academy.com/shop/pdp/bcg-mens-sport-compression-t-shirt?sku=black-x-large
Mizuno Women's Victory Volleyball Shorts                                                                                        ,https://www.academy.com/shop/pdp/mizuno-womens-victory-volleyball-shorts?sku=black-medium
BCG Men's Cotton Muscle Tank Top                                                                                                ,https://www.academy.com/shop/pdp/bcg-mens-cotton-muscle-tank-top?sku=white-xx-large
BCG Boys' Solid Compression Tights                                                                                              ,https://www.academy.com/shop/pdp/bcg-boys-solid-compression-tights?sku=black-medium
Nike Women's Dri-FIT Essential Swoosh Training Tank Top                                                                         ,https://www.academy.com/shop/pdp/nike-womens-dri-fit-essential-swoosh-training-tank-top?sku=black-htr-white-large
adidas Kids' Parma 16 Soccer Short                                                                                              ,https://www.academy.com/shop/pdp/adidas-kids-parma-16-soccer-short?sku=black-small
BCG Women's Plus Size Woven Donna Shorts                                                                                        ,https://www.academy.com/shop/pdp/bcg-womens-plus-size-woven-donna-shorts-122941327?sku=black-1x
Under Armour Boys' Tech Logo T-Shirt                                                                                            ,https://www.academy.com/shop/pdp/under-armour-boys-tech-logo-t-shirt?sku=red-medium
BCG Boys' Turbo Embossed T-shirt                                                                                                ,https://www.academy.com/shop/pdp/bcg-boys-turbo-embossed-t-shirt-121044982?sku=blue-bright-01-large
BCG Women's Athletic Lifestyle Studio Tank Top                                                                                  ,https://www.academy.com/shop/pdp/bcg-womens-athletic-lifestyle-studio-tank-top?sku=black-x-large
Adidas Men's AEROREADY Designed 2 Move Sport Stretch Short Sleeve T-shirt                                                       ,https://www.academy.com/shop/pdp/adidas-mens-aeroready-designed-2-move-sport-stretch-short-sleeve-t-shirt?sku=red-medium-01-x-large
Under Armour Girls' Fly By Shorts                                                                                               ,https://www.academy.com/shop/pdp/under-armour-girls-fly-by-shorts?sku=black-large
adidas Men's Designed2Move Polo Shirt                                                                                           ,https://www.academy.com/shop/pdp/adidas-mens-d2m-polo-shirt?sku=black-xx-large
Nike Women's Swoosh Band Sports Bra                                                                                             ,https://www.academy.com/shop/pdp/nike-womens-swoosh-band-sports-bra?sku=black-large
Game On Youth Compression Arm Sleeve                                                                                            ,https://www.academy.com/shop/pdp/game-on-youth-compression-arm-sleeve?sku=red-one-size
adidas Men's Parma 16 Soccer Short                                                                                              ,https://www.academy.com/shop/pdp/adidas-mens-parma-16-soccer-short?sku=black-medium
Under Armour Boys' Showdown Shorts                                                                                              ,https://www.academy.com/shop/pdp/under-armour-boys-showdown-shorts-125818720?sku=beige-or-khaki-large
Under Armour Women's Play Up 3.0 Twist Shorts 3 in                                                                              ,https://www.academy.com/shop/pdp/under-armour-womens-play-up-30-twist-shorts-3-in?sku=black-medium
Nike Men's Sportswear Club Jogger Pants                                                                                         ,https://www.academy.com/shop/pdp/nike-mens-sportswear-club-jogger-pants?sku=charcoal-01-medium
BCG Women's Contrast Pieced Crop Leggings                                                                                       ,https://www.academy.com/shop/pdp/bcg-womens-contrast-pieced-crop-leggings-125812070?sku=black-large
BCG Men's Performance Full Length Compression Tights                                                                            ,https://www.academy.com/shop/pdp/bcg-mens-performance-full-length-compression-tights?sku=black-medium
Nike Men's Legend 2.0 Training Long Sleeve Shirt                                                                                ,https://www.academy.com/shop/pdp/nike-mens-legend-20-training-long-sleeve-shirt?sku=white-black-large
BCG Men's Stretch Woven Tapered Pants                                                                                           ,https://www.academy.com/shop/pdp/bcg-mens-stretch-woven-tapered-pants?sku=black-large
BCG Women's 2-Tone Athletic Mesh Shorts                                                                                         ,https://www.academy.com/shop/pdp/bcg-womens-2-tone-athletic-mesh-shorts?sku=black-small
adidas Women's Essentials 3-Stripes Tricot Pants                                                                                ,https://www.academy.com/shop/pdp/adidas-womens-essentials-3-stripes-tricot-pants?sku=legend-ink-white-medium
Nike Women's Crew Running Shorts                                                                                                ,https://www.academy.com/shop/pdp/nike-womens-crew-running-shorts-121256168?sku=black-reflective-silver-small
Nike Women's Dri-FIT Training Tank Top                                                                                          ,https://www.academy.com/shop/pdp/nike-womens-dri-fit-training-tank-top?sku=pink-dark-01-medium
adidas Boys' climalite Performance Logo T-shirt                                                                                 ,https://www.academy.com/shop/pdp/adidas-boys-climalite-performance-logo-t-shirt?sku=blue-large
adidas Women's Don't Rest Alphaskin Medium Support Sports Bra                                                                   ,https://www.academy.com/shop/pdp/adidas-womens-dont-rest-alphaskin-medium-support-sports-bra-125905954?sku=black-large
BCG Girls' Bodywear Volley Short                                                                                                ,https://www.academy.com/shop/pdp/bcg%E2%84%A2-girls-bodywear-volley-short?sku=black-medium
Under Armour Women's HeatGear Armour Mid Rise Shorty Shorts                                                                     ,https://www.academy.com/shop/pdp/under-armour-womens-heatgear-armour-mid-rise-shorty-shorts?sku=black-small
Adidas Men's Designed 2 Move Feel Ready Short Sleeve T-shirt                                                                    ,https://www.academy.com/shop/pdp/adidas-mens-designed-2-move-feel-ready-short-sleeve-t-shirt?sku=red-white-large
Nike Men's Dri-FIT Challenger Brief-Lined Running Shorts 7 in                                                                   ,https://www.academy.com/shop/pdp/nike-mens-dri-fit-challenger-brief-lined-running-shorts-7-in?sku=black-small
BCG Women's Training Solid Short Sleeve V-neck Tech T-shirt                                                                     ,https://www.academy.com/shop/pdp/bcg%E2%84%A2-womens-training-solid-short-sleeve-v-neck-tech-t-shirt?sku=white-05-x-large
adidas Men's Entrada 18 Soccer Jersey                                                                                           ,https://www.academy.com/shop/pdp/adidas-mens-entrada-18-soccer-jersey?sku=red-small
BCG Girls' Solid Bike Shorts 7 in                                                                                               ,https://www.academy.com/shop/pdp/bcg-girls-solid-bike-shorts-7-in?sku=navy-small
Nike M Flex Woven 3.0 Short                                                                                                     ,https://www.academy.com/shop/pdp/nike-m-flex-woven-30-short?sku=black-large
BCG Women's Mesh Angle Plus Training Shorts 5-in                                                                                ,https://www.academy.com/shop/pdp/bcg-womens-mesh-angle-plus-training-shorts-5-in?sku=black-1x
Under Armour Men's Woven Shorts 7 in                                                                                            ,https://www.academy.com/shop/pdp/under-armour-mens-woven-shorts-7-in?sku=black-x-large
BCG Women's Seamless Zip Front Mid Impact Sports Bra                                                                            ,https://www.academy.com/shop/pdp/bcg-womens-seamless-zip-front-mid-impact-sports-bra?sku=charcoal-01-large
BCG Men's Athletic Digi Turbo 1/4 Zip Pullover Training Top                                                                     ,https://www.academy.com/shop/pdp/bcg-mens-athletic-digi-turbo-1-4-zip-pullover-training-top?sku=navy-large
BCG Women's Tummy Control Plus Size Bike Shorts                                                                                 ,https://www.academy.com/shop/pdp/bcg-womens-tummy-control-plus-size-bike-shorts?sku=black-2x
Nike Boys' Legend Swoosh T-shirt                                                                                                ,https://www.academy.com/shop/pdp/nike-boys-legend-swoosh-t-shirt?sku=university-red-heather-white-large
BCG Women's Wide Waistband Volley Shorts 3 in                                                                                   ,https://www.academy.com/shop/pdp/bcg-womens-wide-waistband-volley-shorts-3-in?sku=black-small
Nike Women's Dri-FIT Legend Plus Size Training T-shirt                                                                          ,https://www.academy.com/shop/pdp/nike-womens-dri-fit-legend-plus-size-training-t-shirt?sku=black-3x
BCG Women's Athletic Turbo Racer Training Tank Top                                                                              ,https://www.academy.com/shop/pdp/bcg-womens-athletic-turbo-racer-training-tank-top?sku=black-medium
BCG Women's Basic Cross Training Pant                                                                                           ,https://www.academy.com/shop/pdp/bcg%E2%84%A2-womens-basic-cross-training-pant?sku=black-07-x-large
Nike Men's Fastbreak Basketball Shorts 11 in                                                                                    ,https://www.academy.com/shop/pdp/nike-mens-fastbreak-basketball-shorts-11-in?sku=black-01-large
Magellan Outdoors Women's Plus Size Happy Camper Shorty Shorts                                                                  ,https://www.academy.com/shop/pdp/magellan-outdoors-womens-plus-size-happy-camper-shorty-shorts?sku=gray-medium-01-18
BCG Women's Mid Impact Racer Plus Size Sports Bra                                                                               ,https://www.academy.com/shop/pdp/bcg-womens-mid-impact-racer-plus-size-sports-bra?sku=black-1x
