web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
"1632421954-16847","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/breakroom/N=5+530419/?cm_sp=breakroom-_-shopall_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_4_0&promo_name=breakroom&promo_id=breakroom-shopall-learn-from-anywhere&promo_creative=shopall_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_4_0","Dinnerware","https://www.officedepot.com/a/browse/dinnerware/N=5+1214753/","Elama 16-Piece Stoneware Dinnerware Set, Lilac Fields"
"1632422417-17455","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Hot Cups & Lids   (413)","https://www.officedepot.com/a/browse/hot-cups-and-lids/N=5+1154879/","Dixie® PerfecTouch® by GP PRO Hot Cups, 8 Oz., Box Of 500"
"1632423552-18334","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","FLAVIA® Coffee ALTERRA® Single-Serve Coffee Freshpacks, Real Milk Froth Powder, ..."
"1632422262-17377","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee Organizers   (64)","https://www.officedepot.com/a/browse/coffee-organizers/N=5+1154876/","Mind Reader Combo 2-Piece Drawer And Condiment Organizer, Red"
"1632422180-17249","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Carafes   (71)","https://www.officedepot.com/a/browse/carafes/N=5+1154873/","BUNN Easy Pour 12 Cup Commercial Coffee Decanter, Decaffeinated, Orange Handle0.0 out of 5 stars."
"1632423552-18666","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Executive Suite® Coffee Single-Serve Coffee Packets, Decaffeinated, 100% Colombi..."
"1632421954-16915","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/breakroom/N=5+530419/?cm_sp=breakroom-_-shopall_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_4_0&promo_name=breakroom&promo_id=breakroom-shopall-learn-from-anywhere&promo_creative=shopall_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_4_0","Dinnerware","https://www.officedepot.com/a/browse/dinnerware/N=5+1214753/","Gibson Elite Soho Lounge 12-Piece Soft Square Dinnerware Set, Red"
"1632423552-18217","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Tully's® Coffee Single-Serve Coffee K-Cup®, Italian Roast, Carton Of 24"
"1632422147-17229","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee Filters   (29)","https://www.officedepot.com/a/browse/coffee-filters/N=5+1154875/","BUNN Home Brewer Coffee Filters - Chlorine-free - 3000 / Carton - White0.0 out of 5 stars."
"1632423552-18285","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Starbucks® Single-Serve Coffee Freshpacks, Dark Roast, Pike Place, Carton Of 80"
"1632422722-17825","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee Makers","https://www.officedepot.com/a/browse/coffee-makers/N=5+1176154/","Cuisinart DCC-1200 Brew Central 12-Cup Programmable Coffee Maker, Black"
