web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
1632411106-8081,https://www.officedepot.com/a/browse/paper/N=5+530715/,Certificates & Covers   (225),https://www.officedepot.com/a/browse/certificates-and-covers/N=5+533805/,Certificate & Document Covers   (83),https://www.officedepot.com/a/browse/certificate-and-document-covers/N=5+533807/,"Southworth® Certificate Holders, 9 1/2"" x 12"", Black, Pack Of 104.7 out of 5 stars. 26 reviews"
1632410890-7115,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A2, 4 1/4"" x 5 1/2"", Baby Blue, Pack Of 50"
1632410890-6796,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A1, 3 1/2"" x 4 7/8"", Hottie Pink, Pack Of 5000.0 out of 5 stars."
1632411139-8164,https://www.officedepot.com/a/browse/paper/N=5+530715/,Filler & Graph Paper   (85),https://www.officedepot.com/a/browse/filler-and-graph-paper/N=5+549821/,Data Pads   (47),https://www.officedepot.com/a/browse/data-pads/N=5+549822/,Ampad Cross - section Quadrille Pads - Legal - 40 Sheets - Glue - 20 lb Basis We...4.9 out of 5 stars. 8 reviews
1632410890-7117,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Folded Cards, A1, 3 1/2"" x 4 7/8"", Chocolate Brown, Pack Of 1,000"
1632410890-6894,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A9, 5 1/2"" x 8 1/2"", Hottie Pink, Pack Of 1,0000.0 out of 5 stars."
1632411311-8545,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Notes   (309),https://www.officedepot.com/a/browse/sticky-notes/N=5+549834/,"Post-it® Notes, 3"" x 3"", Lined, Cape Town Color Collection, Pack Of 6 Pads4.9 out of 5 stars. 13 reviews"
1632411311-8492,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Notes   (309),https://www.officedepot.com/a/browse/sticky-notes/N=5+549834/,"Post it® Notes Super Sticky Notes, 3"" x 3"", Miami, Pack Of 24 Pads4.9 out of 5 stars. 142 reviews"
1632410154-5546,https://www.officedepot.com/a/browse/paper/N=5+530715/,Cash Register & Thermal Rolls   (110),https://www.officedepot.com/a/browse/cash-register-and-thermal-rolls/N=5+530723/,Cash Register & Thermal Paper Rolls   (108),https://www.officedepot.com/a/browse/cash-register-and-thermal-paper-rolls/N=5+530724/,"Office Depot® Brand Banking/Teller Window/ATM Rolls, 3"" x 90', 2-Ply, Self-Conta..."
1632411546-9355,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Pacon® Fadeless® Art Paper Roll, 48"" x 50', Flame Red4.0 out of 5 stars. 1 review"
1632411461-9171,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Craft & Tissue Paper   (41),https://www.officedepot.com/a/browse/craft-and-tissue-paper/N=5+530719/,"Roylco® Decorative Hues Paper, 5 1/2"" x 8 1/2"", Multicolor, 192 Sheets Per Pack,...0.0 out of 5 stars."
