web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632112638-130,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Weather-Resistant Labels,https://www.officedepot.com/a/browse/weather-resistant-labels/N=5+1212307/?cm_sp=copy_print_depot-_-labelsstickersweatherresistant_cpd_-_-category_labels-and-stickers--1212299_main_1_5_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersweatherresistant-cpd&promo_creative=labelsstickersweatherresistant_cpd&promo_position=category_labels-and-stickers--1212299_main_1_5_0,"Custom Outdoor Weatherproof Full-Color Labels, 1-1/2"" x 3"", Box Of 125 Labels0.0 out of 5 stars."
1632112638-115,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Weather-Resistant Labels,https://www.officedepot.com/a/browse/weather-resistant-labels/N=5+1212307/?cm_sp=copy_print_depot-_-labelsstickersweatherresistant_cpd_-_-category_labels-and-stickers--1212299_main_1_5_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersweatherresistant-cpd&promo_creative=labelsstickersweatherresistant_cpd&promo_position=category_labels-and-stickers--1212299_main_1_5_0,"Custom Printed Outdoor Weatherproof 1-, 2- Or 3-Color Labels And Stickers, 4"" Ci...0.0 out of 5 stars."
1632112751-279,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Advertising Labels, 1"" x 3"", Roll Of 250 Labels5.0 out of 5 stars. 1 review"
1632112638-138,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Weather-Resistant Labels,https://www.officedepot.com/a/browse/weather-resistant-labels/N=5+1212307/?cm_sp=copy_print_depot-_-labelsstickersweatherresistant_cpd_-_-category_labels-and-stickers--1212299_main_1_5_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersweatherresistant-cpd&promo_creative=labelsstickersweatherresistant_cpd&promo_position=category_labels-and-stickers--1212299_main_1_5_0,"Custom Printed Outdoor Weatherproof 1-, 2- Or 3-Color Labels And Stickers, 2"" x ...0.0 out of 5 stars."
1632112751-333,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Advertising Labels, Rectangle, 2"" x 2-1/2"", Roll Of 250 Labels0.0 out of 5 stars."
1632112751-329,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Foil-Embossed Labels And Stickers, 1-1/4"" Circle, Box Of 500 Labe...0.0 out of 5 stars."
1632112695-224,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Full Color Labels & Stickers,https://www.officedepot.com/a/browse/full-color-labels-and-stickers/N=5+1212306/?cm_sp=copy_print_depot-_-labelsstickersfullcolor_cpd_-_-category_labels-and-stickers--1212299_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfullcolor-cpd&promo_creative=labelsstickersfullcolor_cpd&promo_position=category_labels-and-stickers--1212299_main_1_2_0,"Custom Full-Color Straight-Tuck Slit Lock Packaging Boxes, 2-3/8"" x 2-3/8"" x 4-1...0.0 out of 5 stars."
1632112586-37,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Foil Stamped Labels,https://www.officedepot.com/a/browse/foil-stamped-labels/N=5+1212305/?cm_sp=copy_print_depot-_-labelsstickersfoilstamped_cpd_-_-category_labels-and-stickers--1212299_main_1_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfoilstamped-cpd&promo_creative=labelsstickersfoilstamped_cpd&promo_position=category_labels-and-stickers--1212299_main_1_7_0,"Custom 1-Color Foil-Stamped Labels And Stickers, 1"" Circle, Box Of 500 Labels0.0 out of 5 stars."
1632112751-321,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom Printed Pinfed Continuous-Feed Dot Matrix Color Labels, 8-1/2"" x 11"" Rect...0.0 out of 5 stars."
1632112751-394,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Foil-Embossed Labels And Stickers, 1-5/8"" x 2"" Ribbon Seal, Box O...0.0 out of 5 stars."
1632112638-158,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Weather-Resistant Labels,https://www.officedepot.com/a/browse/weather-resistant-labels/N=5+1212307/?cm_sp=copy_print_depot-_-labelsstickersweatherresistant_cpd_-_-category_labels-and-stickers--1212299_main_1_5_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersweatherresistant-cpd&promo_creative=labelsstickersweatherresistant_cpd&promo_position=category_labels-and-stickers--1212299_main_1_5_0,"Custom Outdoor Weatherproof Full-Color Labels, 3/4"" x 2"", Box Of 125 Labels0.0 out of 5 stars."
1632112751-423,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Laser Sheet Labels And Stickers, 2-3/4"" x 4-1/4"" Rectangle, 8 Lab...0.0 out of 5 stars."
1632112638-129,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Weather-Resistant Labels,https://www.officedepot.com/a/browse/weather-resistant-labels/N=5+1212307/?cm_sp=copy_print_depot-_-labelsstickersweatherresistant_cpd_-_-category_labels-and-stickers--1212299_main_1_5_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersweatherresistant-cpd&promo_creative=labelsstickersweatherresistant_cpd&promo_position=category_labels-and-stickers--1212299_main_1_5_0,"Custom Outdoor Weatherproof Full-Color Labels, 3"", Box Of 125 Labels0.0 out of 5 stars."
1632112695-231,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Full Color Labels & Stickers,https://www.officedepot.com/a/browse/full-color-labels-and-stickers/N=5+1212306/?cm_sp=copy_print_depot-_-labelsstickersfullcolor_cpd_-_-category_labels-and-stickers--1212299_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfullcolor-cpd&promo_creative=labelsstickersfullcolor_cpd&promo_position=category_labels-and-stickers--1212299_main_1_2_0,"Custom Full-Color Oval Advertising Labels, 4"" x 6"", Roll Of 125 Labels0.0 out of 5 stars."
1632112695-242,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Full Color Labels & Stickers,https://www.officedepot.com/a/browse/full-color-labels-and-stickers/N=5+1212306/?cm_sp=copy_print_depot-_-labelsstickersfullcolor_cpd_-_-category_labels-and-stickers--1212299_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfullcolor-cpd&promo_creative=labelsstickersfullcolor_cpd&promo_position=category_labels-and-stickers--1212299_main_1_2_0,"Custom Full-Color Straight Tuck Packaging Boxes, 1-7/16""H x 1-7/16""W x 4-1/4""D, ...0.0 out of 5 stars."
