web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
1632432344-31227,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 2-Mil Flat Poly Bags, 10"" x 24"", Case Of 1,000"
1632429834-28815,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Notebooks & Pads,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+531006/,Writing Pads,https://www.officedepot.com/a/browse/writing-pads/N=5+549850/,"Office Depot® Brand Perforated Writing Pads, 5"" x 8"", Narrow Ruled, 50 Sheets, W..."
1632433990-32001,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Binders & Accessories,https://www.officedepot.com/a/browse/binders-and-accessories/N=5+6470/,Binders,https://www.officedepot.com/a/browse/binders/N=5+1035700/,"Office Depot® Brand Heavy-Duty 3-Ring Binder, 4"" D-Rings, 49% Recycled, Navy"
1632429966-28922,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Notebooks & Pads,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+531006/,Spiral & Wireless Notebooks,https://www.officedepot.com/a/browse/spiral-and-wireless-notebooks/N=5+531010/,"Office Depot® Brand Wirebound Notebook, 3-Hole Punched, 8"" x 10 1/2"", 5 Subjects..."
1632432344-30823,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 6 Mil Reclosable Poly Bags 24"" x 24"", Box of 1000.0 out of 5 stars."
1632438466-33137,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,Expanding File Folders,https://www.officedepot.com/a/browse/expanding-file-folders/N=5+7211/,"Office Depot® Brand Paper Expanding File With Flap, 31 Pocket, Expansion 2"", 8 1...4.5 out of 5 stars. 32 reviews"
1632433990-32043,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Binders & Accessories,https://www.officedepot.com/a/browse/binders-and-accessories/N=5+6470/,Binders,https://www.officedepot.com/a/browse/binders/N=5+1035700/,"Office Depot® Brand Durable View Round-Ring Binders, 1-1/2"" Round Rings, Yellow"
1632432344-31314,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 1.5-Mil Flat Poly Bags, 2"" x 12"", Case Of 1,000"
1632432344-31115,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand Gusseted 1-mil Poly Bags, 5""H x 2""W x 12""D, Clear, Case Of 1..."
1632433990-32092,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Binders & Accessories,https://www.officedepot.com/a/browse/binders-and-accessories/N=5+6470/,Binders,https://www.officedepot.com/a/browse/binders/N=5+1035700/,"Office Depot® Heavy-Duty Easy-Open 3-Ring Binder, 1"" D-Rings, 49% Recycled, Purp..."
