web-scraper-order,web-scraper-start-url,category,category-href,suncat,suncat-href,name
1632289504-792,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Tax Preparation Software,https://www.officedepot.com/a/browse/tax-preparation-software/N=5+1462083/,TurboTax Desktop Basic 2020 Federal Only Efile (Windows)4.4 out of 5 stars. 491 reviews
1632289615-971,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Photo Editing Software,https://www.officedepot.com/a/browse/photo-editing-software/N=5+1462073/,Corel  PaintShop Pro 2022 Ultimate (Windows)0.0 out of 5 stars.
1632289737-1082,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Utilities Software,https://www.officedepot.com/a/browse/utilities-software/N=5+1462061/,"Laplink® PCmover Profile Migrator 11, 5-Users0.0 out of 5 stars."
1632289463-760,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,CAD Design Software,https://www.officedepot.com/a/browse/cad-design-software/N=5+1462085/,Virtual Architect Instant Makeover 2.00.0 out of 5 stars.
1632289785-1128,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Backup Software,https://www.officedepot.com/a/browse/backup-software/N=5+1462057/,Stellar Mail Backup (Windows)0.0 out of 5 stars.
1632289634-981,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Audio Editing Software,https://www.officedepot.com/a/browse/audio-editing-software/N=5+1462072/,MAGIX ACID Pro 10 (Windows)0.0 out of 5 stars.
1632289428-743,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,Desktop Publishing Software,https://www.officedepot.com/a/browse/desktop-publishing-software/N=5+1462086/,Print Artist® Platinum 253.5 out of 5 stars. 52 reviews
1632289504-801,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Tax Preparation Software,https://www.officedepot.com/a/browse/tax-preparation-software/N=5+1462083/,TurboTax LIVE Online Premier 2020 Federal + State0.0 out of 5 stars.
1632289737-1097,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Utilities Software,https://www.officedepot.com/a/browse/utilities-software/N=5+1462061/,"StarTech.com Hard Drive Eraser For 2.5 or 3.5 in. SATA Drives, 4-Bay, Standalone...0.0 out of 5 stars."
1632289413-715,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462087/,"Summitsoft® Logo Design Studio Pro 2.0, Disc3.0 out of 5 stars. 4 reviews"
1632289537-820,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,"Intuit® QuickBooks® Desktop Premier Plus 2021, For 5 Users, Windows®, Download0.0 out of 5 stars."
